Centre_Title_x,Centre_Address,Eircode,Latitude,Longitude,County_x,Maximum_Occupancy,Centre_Phone,Processed_CT,Processed_County,Centre_Title_y,County_y,Cost of Care
Croft Nursing Home,"2 Goldenbridge Walk , Inchicore, D08 AY24",D08AY24,53.3351418,-6.324317799999999,Dublin,36,01 454 2374,croft nursing home,dublin,Croft Nursing Home,Co. Dublin,1307
Cuan Chaitriona Nursing Home,"The Lawn, Castlebar, F23 NP64",F23NP64,53.8543503,-9.290141499999999,Mayo,58,094 902 1171,cuan chaitriona nursing home,mayo,Cuan Chaitriona Nursing Home,Co. Mayo,1175
Curam Care Home Carrigaline,"Janeville, Carrigaline, P43 DC42",P43DC42,51.8263396,-8.3941611,Cork,111,021 203 7810,curam care home carrigaline,k,Curam Care Home Carrigaline,Co. Cork,1165
Curam Care Home Dundalk,"Toberona, Dundalk, A91 ET86",A91ET86,54.0212948,-6.429153700000001,Louth,82,042 935 5016,curam care home dundalk,louth,Curam Care Home Dundalk,Co. Louth,1200
"Curam Care Home,  Navan Road","Navan Road, Cabra, D07 YDW4",D07YDW4,53.3635409,-6.30261,Dublin,144,01 963 9444,curam care home  navan road,dublin,"Curam Care Home,  Navan Road",Co. Dublin,1318
Curragh Lawn Nursing Home,"Kinneagh, Curragh, R56 RW32",R56RW32,53.1328719,-6.7777082,Kildare,39,045 481 880,curragh lawn nursing home,kildare,Curragh Lawn Nursing Home,Co. Kildare,1280
Dargle Valley Nursing Home,"Cookstown Road, Enniskerry, A98 N478",A98N478,53.18969990000001,-6.1416621,Wicklow,30,01 286 1896,dargle valley nursing home,wicklow,Dargle Valley Nursing Home,Co. Wicklow,1200
Darraglynn Nursing Home,"Carrigaline Road, Douglas, T12 YP92",T12YP92,51.8675591,-8.426647299999999,Cork,26,021 436 4722,darraglynn nursing home,k,Darraglynn Nursing Home,Co. Cork,1160
Deerpark Nursing Home,"Deerpark Nursing Home, Lattin, E34 WF64",E34WF64,52.47284579999999,-8.2433398,Tipperary,33,062 551 21,deerpark nursing home,tipperary,Deerpark Nursing Home,Co. Tipperary,1135
Douglas Nursing and Retirement Home,"Moneygourney, Douglas, T12 HW35",T12HW35,51.8607837,-8.4020076,Cork,58,021 436 4264,douglas nursing and retirement home,k,Douglas Nursing and Retirement Home,Co. Cork,1230
Drakelands House Nursing Home,"Drakelands, Kilkenny, R95 YR02",R95YR02,52.64582960000001,-7.2878287,Kilkenny,72,056 777 0925,drakelands house nursing home,kilkenny,Drakelands House Nursing Home,Co. Kilkenny,1168
Droimnin Nursing Home,"Brockley Park, Stradbally, R32 Y580",R32Y580,53.01547129999999,-7.135954099999999,Laois,70,057 864 1002,droimnin nursing home,laois,Droimnin Nursing Home,Co. Laois,1185
Drumbear Lodge Nursing Home,"Cootehill Road, H18 DX45",H18DX45,54.2283702,-6.9685143,Monaghan,94,047 84800,drumbear lodge nursing home,monaghan,Drumbear Lodge Nursing Home,Co. Monaghan,1190
Duleek Care Centre,"Duleek Nursing Home, Downestown, Co Meath",COMEATH,53.60554800000001,-6.6564169,Meath,121,041 214 3130,duleek care centre,meath,Duleek Care Centre,Co. Meath,1210
Dunboyne Nursing Home,"Waynestown, Summerhill Road, Dunboyne, A86 XF89",A86XF89,53.4366583,-6.5327097,Meath,61,01 825 5232,dunboyne nursing home,meath,Dunboyne Nursing Home,Co. Meath,1245
Dundalk Care Centre,"Inner Relief Road, Marsh South, Haggardstown, Dundalk",DUNDALK,54.0024774,-6.388300099999999,Louth,130,042 941 0198,dundalk care centre,louth,Dundalk Care Centre,Co. Louth,1207
Dunlavin Nursing Home,"Dunlavin, W91 P3C6",W91P3C6,53.0620573,-6.699942,Wicklow,64,045 406 628,dunlavin nursing home,wicklow,Dunlavin Nursing Home,Co. Wicklow,1236
Dunshaughlin Care Home,"Dublin Road, Dunshaughlin, A85 A029",A85A029,53.5048062,-6.5380178,Meath,38,01 963 3099,dunshaughlin care home,meath,Dunshaughlin Care Home,Co. Meath,1200
Ealga Lodge Nursing Home,"Main Street, Shinrone, Birr, R42 EA34",R42EA34,52.9834153,-7.924548199999999,Offaly,48,0505 47969,ealga lodge nursing home,offaly,Ealga Lodge Nursing Home,Co. Offaly,1102
Eliza Lodge Nursing Home,"Boherdurrow, Banagher, R42 XP20",R42XP20,53.1727722,-7.947615,Offaly,50,057 915 2922,eliza lodge nursing home,offaly,Eliza Lodge Nursing Home,Co. Offaly,1200
Elm Green Nursing Home,"New Dunsink Lane, Castleknock, D15 E403",D15E403,53.3882155,-6.3510046,Dublin,120,01 811 3900,elm green nursing home,dublin,Elm Green Nursing Home,Co. Dublin,1345
Elm Hall Nursing Home,"Elm Hall Nursing Home, Loughlinstown Road, Celbridge, W23 P6EX",W23P6EX,53.3363382,-6.5157595,Kildare,62,01 601 2399,elm hall nursing home,kildare,Elm Hall Nursing Home,Co. Kildare,1205
Elmhurst Nursing Home,"Hampstead Avenue, Ballymun Road, Glasnevin, D09 XNV2",D09XNV2,53.3797704,-6.259795599999999,Dublin,44,01 837 4444,elmhurst nursing home,dublin,Elmhurst Nursing Home,Co. Dublin,1335
Ennis Nursing Home,"Showgrounds Road, Drumbiggle, Ennis, V95 R968",V95R968,52.8371983,-8.995652,Clare,60,065 682 4262,ennis nursing home,clare,Ennis Nursing Home,Co. Clare,1125
Ennis Road Care Facility,"Meelick, Ennis, V94 T276",V94T276,52.6793595,-8.698470799999999,Clare,84,061 325 555,ennis road care facility,clare,Ennis Road Care Facility,Co. Clare,1149
Esker Lodge Nursing Home,"Esker Place, Cathedral Road, H12T996",H12T996,54.0017772,-7.358795099999999,Cavan,70,049 437 5090,esker lodge nursing home,cavan,Esker Lodge Nursing Home,Co. Cavan,1214
Esker Ri Nursing Home,"Kilnabin, Clara, R35 XH96",R35XH96,53.33437,-7.5952328,Offaly,143,057 933 0030,esker ri nursing home,offaly,Esker Ri Nursing Home,Co. Offaly,1133
Eyrefield Manor Nursing Home,"Church Lane, Greystones, A63KN63",A63KN63,53.1469031,-6.0700758,Wicklow,53,01 287 2877,eyrefield manor nursing home,wicklow,Eyrefield Manor Nursing Home,Co. Wicklow,1270
Fairfield Nursing Home,"Quarry Road, Drimoleague, P47 HP28",P47HP28,51.6639653,-9.272946899999999,Cork,49,028 31 881,fairfield nursing home,k,Fairfield Nursing Home,Co. Cork,1155
Fairlawns Nursing Home,"Cavan Road, Bailieborough, A82 KP08",A82KP08,53.9173604,-6.9761808,Cavan,37,042 966 5930,fairlawns nursing home,cavan,Fairlawns Nursing Home,Co. Cavan,1050
Fairy Hill Nursing Home,"Kennel Hill, Mallow, P51 FT98",P51FT98,52.1394767,-8.6584538,Cork,22,022 53361,fairy hill nursing home,k,Fairy Hill Nursing Home,Co. Cork,1185
Fennor Hill Care Facility,"Cashel Road, Urlingford, E41 PX70",E41PX70,52.7167341,-7.5892134,Kilkenny,56,056 445 2040,fennor hill care facility,kilkenny,Fennor Hill Care Facility,Co. Kilkenny,1165
Ferbane Care Centre,"Main Street, Ferbane, R42 TN84",R42TN84,53.2645986,-7.825483599999999,Offaly,61,090 645 4742,ferbane care centre,offaly,Ferbane Care Centre,Co. Offaly,1100
Fingal House Nursing Home,"Spiddal Hill , Seatown West, Swords, K67 VE44",K67VE44,53.4640342,-6.2157407,Dublin,17,01 840 1545,fingal house nursing home,dublin,Fingal House Nursing Home,Co. Dublin,1240
