Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Both sexes,72 years,Galway County,Number,1673
Population,2022,Both sexes,72 years,Kildare,Number,1666
Population,2022,Both sexes,72 years,Kilkenny,Number,920
Population,2022,Both sexes,72 years,Kerry,Number,1569
Population,2022,Both sexes,72 years,Longford,Number,419
Population,2022,Both sexes,72 years,Louth,Number,1050
Population,2022,Both sexes,72 years,Limerick City and County,Number,1810
Population,2022,Both sexes,72 years,Leitrim,Number,366
Population,2022,Both sexes,72 years,Laois,Number,611
Population,2022,Both sexes,72 years,Meath,Number,1478
Population,2022,Both sexes,72 years,Monaghan,Number,585
Population,2022,Both sexes,72 years,Mayo,Number,1507
Population,2022,Both sexes,72 years,Offaly,Number,697
Population,2022,Both sexes,72 years,Roscommon,Number,669
Population,2022,Both sexes,72 years,South Dublin,Number,2358
Population,2022,Both sexes,72 years,Sligo,Number,686
Population,2022,Both sexes,72 years,Tipperary,Number,1530
Population,2022,Both sexes,72 years,Waterford City and County,Number,1076
Population,2022,Both sexes,72 years,Westmeath,Number,741
Population,2022,Both sexes,72 years,Wicklow,Number,1273
Population,2022,Both sexes,72 years,Wexford,Number,1498
Population,2022,Both sexes,73 years,State,Number,39255
Population,2022,Both sexes,73 years,Cork City and Cork County,Number,4524
Population,2022,Both sexes,73 years,Clare,Number,1113
Population,2022,Both sexes,73 years,Cavan,Number,629
Population,2022,Both sexes,73 years,Carlow,Number,461
Population,2022,Both sexes,73 years,Dublin City,Number,3788
Population,2022,Both sexes,73 years,Donegal,Number,1522
Population,2022,Both sexes,73 years,Dún Laoghaire-Rathdown,Number,1796
Population,2022,Both sexes,73 years,Fingal,Number,1941
Population,2022,Both sexes,73 years,Galway City,Number,547
Population,2022,Both sexes,73 years,Galway County,Number,1639
Population,2022,Both sexes,73 years,Kildare,Number,1584
Population,2022,Both sexes,73 years,Kilkenny,Number,831
Population,2022,Both sexes,73 years,Kerry,Number,1529
Population,2022,Both sexes,73 years,Longford,Number,375
Population,2022,Both sexes,73 years,Louth,Number,980
Population,2022,Both sexes,73 years,Limerick City and County,Number,1722
Population,2022,Both sexes,73 years,Leitrim,Number,295
Population,2022,Both sexes,73 years,Laois,Number,558
Population,2022,Both sexes,73 years,Meath,Number,1460
Population,2022,Both sexes,73 years,Monaghan,Number,536
Population,2022,Both sexes,73 years,Mayo,Number,1365
Population,2022,Both sexes,73 years,Offaly,Number,660
Population,2022,Both sexes,73 years,Roscommon,Number,617
Population,2022,Both sexes,73 years,South Dublin,Number,2139
Population,2022,Both sexes,73 years,Sligo,Number,667
Population,2022,Both sexes,73 years,Tipperary,Number,1479
Population,2022,Both sexes,73 years,Waterford City and County,Number,1068
Population,2022,Both sexes,73 years,Westmeath,Number,743
Population,2022,Both sexes,73 years,Wicklow,Number,1284
Population,2022,Both sexes,73 years,Wexford,Number,1403
Population,2022,Both sexes,74 years,State,Number,37670
Population,2022,Both sexes,74 years,Cork City and Cork County,Number,4342
Population,2022,Both sexes,74 years,Clare,Number,1076
Population,2022,Both sexes,74 years,Cavan,Number,596
Population,2022,Both sexes,74 years,Carlow,Number,475
Population,2022,Both sexes,74 years,Dublin City,Number,3632
Population,2022,Both sexes,74 years,Donegal,Number,1465
Population,2022,Both sexes,74 years,Dún Laoghaire-Rathdown,Number,1814
Population,2022,Both sexes,74 years,Fingal,Number,1821
Population,2022,Both sexes,74 years,Galway City,Number,502
Population,2022,Both sexes,74 years,Galway County,Number,1570
Population,2022,Both sexes,74 years,Kildare,Number,1494
Population,2022,Both sexes,74 years,Kilkenny,Number,860
Population,2022,Both sexes,74 years,Kerry,Number,1481
Population,2022,Both sexes,74 years,Longford,Number,371
Population,2022,Both sexes,74 years,Louth,Number,1006
Population,2022,Both sexes,74 years,Limerick City and County,Number,1658
Population,2022,Both sexes,74 years,Leitrim,Number,313
Population,2022,Both sexes,74 years,Laois,Number,567
Population,2022,Both sexes,74 years,Meath,Number,1329
Population,2022,Both sexes,74 years,Monaghan,Number,498
Population,2022,Both sexes,74 years,Mayo,Number,1349
Population,2022,Both sexes,74 years,Offaly,Number,637
Population,2022,Both sexes,74 years,Roscommon,Number,625
Population,2022,Both sexes,74 years,South Dublin,Number,1973
Population,2022,Both sexes,74 years,Sligo,Number,642
Population,2022,Both sexes,74 years,Tipperary,Number,1459
