_id,Service name,Address,County,ig_xcord,ig_ycord
243,Kanturk Community Hospital,"Kanturk Community Hospital, Kanturk, Co. Cork, Cork",Cork,138038.4266,103182.3185
244,Kenmare Community Nursing Unit- New Build,"Hospital Road, Kenmare, Co. Kerry, Kerry",Kerry,91173.953,71840.359
245,Kenmare Nursing Home 'Tir na nOg',"Kenmare Nursing Home 'Tir na nOg', Killaha East, Kenmare, Co. Kerry, Kerry",Kerry,89682.5491,69066.60504
246,Kerlogue Nursing Home,"Kerlogue Nursing Home, Kerlogue, Wexford, Wexford",Wexford,305286.2129,118998.629
247,Kilbrew Recuperation and Nursing Care,"Kilbrew Recuperation and Nursing Care, Curragh, Ashbourne, Co. Meath, Meath",Meath,303084.3496,255179.3649
248,Kilcara House Nursing Home,"Kilcara House Nursing Home, Kilcara, Duagh, Listowel, Co. Kerry Kerry",Kerry,105443.6267,130219.8495
249,Kilcolgan Nursing Home,"Kilcolgan Nursing Home, Kilcolgan, Co. Galway, Galway",Galway,142597.0775,218018.34
250,"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards)","Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards), St. Margaret's Road, Killarney, Co. Kerry Kerry",Kerry,95895.83925,91608.71083
251,Killarney Nursing Home,"Killarney Nursing Home, Rock Road, Killarney, Co. Kerry, Kerry",Kerry,96075.51813,91190.93023
252,Killeline Nursing Home,"Killeline Nursing Home, Cork Road, Newcastle West, Co. Limerick, Limerick",Limerick,128922.6064,133125.5164
253,Killiney Grove Nursing Home,"Killiney Grove Nursing Home, Killiney Hill Road, Killiney, Co. Dublin, Co. Dublin",Dublin,325556.2568,226104.9966
254,Killure Bridge Nursing Home,"Killure Bridge Nursing Home, Airport Road, Waterford, Waterford",Waterford,260700.0994,112615.0896
255,Killybegs Community Hospital,"Killybegs Community Hospital, Killybegs, Co. Donegal, Donegal",Donegal,171230.8212,377028.0578
256,Kilmainhamwood Nursing Home,"Kilmainhamwood Nursing Home, Kilmainhamwood, Kells, Co. Meath, Meath",Meath,277449.3404,274531.7939
